geoid,active_adult_use_cannabis_store_licenses,data_as_of
2300102060,7,2026-06-01
2300138740,8,2026-06-01
2300140035,1,2026-06-01
2300144585,1,2026-06-01
2300160020,2,2026-06-01
2300177800,3,2026-06-01
2300360825,1,2026-06-01
2300507170,3,2026-06-01
2300508430,3,2026-06-01
2300511125,2,2026-06-01
2300560545,27,2026-06-01
2300571990,11,2026-06-01
2300586025,2,2026-06-01
2300710740,2,2026-06-01
2300724005,1,2026-06-01
2300724775,2,2026-06-01
2300908815,1,2026-06-01
2300972865,1,2026-06-01
2301102100,5,2026-06-01
2301112350,1,2026-06-01
2301127085,3,2026-06-01
2301130550,1,2026-06-01
2301143080,3,2026-06-01
2301163835,1,2026-06-01
2301180740,6,2026-06-01
2301186515,1,2026-06-01
2301363590,4,2026-06-01
2301376365,2,2026-06-01
2301380215,1,2026-06-01
2301506050,1,2026-06-01
2301516235,2,2026-06-01
2301569645,1,2026-06-01
2301587075,1,2026-06-01
2301704825,3,2026-06-01
2301726910,1,2026-06-01
2301749275,2,2026-06-01
2301756310,4,2026-06-01
2301758270,1,2026-06-01
2301783890,1,2026-06-01
2301902795,10,2026-06-01
2301906925,3,2026-06-01
2301939475,2,2026-06-01
2301945005,1,2026-06-01
2301949065,2,2026-06-01
2301955565,1,2026-06-01
2302129535,1,2026-06-01
2302130095,1,2026-06-01
2302146020,2,2026-06-01
2302303355,2,2026-06-01
2302387460,2,2026-06-01
2302517460,1,2026-06-01
2302524320,1,2026-06-01
2302569505,1,2026-06-01
2302752845,2,2026-06-01
2302902970,2,2026-06-01
2302913750,2,2026-06-01
2303104720,3,2026-06-01
2303104860,3,2026-06-01
2303122955,6,2026-06-01
2303133665,2,2026-06-01
2303137270,2,2026-06-01
2303138425,5,2026-06-01
2303155085,1,2026-06-01
2303156870,2,2026-06-01
2303165725,4,2026-06-01
